"Provincia","Nombre","Dirección","Gasolina 95","Gasolina 98","Gasoleo A"
"Albacete","NTRA. SRA. DE LA ENCARNACION","AVENIDA GUARDIA CIVIL, 162, TOBARRA","1,289€","€","1,229€"
"Albacete","NAVARRO Y VALERO, S.L","AVENIDA DE LA PAZ, 3, SOCOVOS","1,369€","1,509€","1,309€"
"Albacete","MULTSER-OIL","CARRETERA N 301-A KM. S/N, HELLIN","1,358€","€","1,258€"
"Albacete","MONTGASOLEOS","POLIGONO MOLARES, 8, MONTEALEGRE DEL CASTILLO","1,129€","€","1,139€"
"Albacete","MEROIL","CARRETERA BIENSERVIDA KM. 10, BIENSERVIDA","1,298€","€","1,198€"
"Albacete","LOZANO","CM. 3203 km 14,1, SALOBRAL (EL)","1,360€","1,480€","1,300€"
"Albacete","LOS CORRALES","CALLE CAPATAZ SANTIAGO, 23, MONTEALEGRE DEL CASTILLO","1,369€","€","1,309€"
"Albacete","LOS ANGELES DE LA MANCHA, S.L.","MADRID-CARTAGENA km 248,5, ALBACETE","1,379€","1,509€","1,319€"
"Albacete","LOS ANGELES DE LA MANCHA","MADRID-CARTAGENA km 248,5, ALBACETE","1,379€","1,509€","1,319€"
"Albacete","LA PULGOSA","CARRETERA M 3203 KM. 2,6, ALBACETE","1,297€","1,377€","1,207€"
"Albacete","LA GAVIOTA GASOLINERAS","AVENIDA ALBACETE, 35, TARAZONA DE LA MANCHA","1,275€","€","1,227€"
"Albacete","INPEALSA","CARRETERA BADAJOZ VALENCIA KM. 456,7 KM. 456,7, MUNERA","1,229€","€","1,089€"
"Albacete","INPEALSA","AVENIDA PRIMERA, 94, ALBACETE","1,339€","€","1,269€"
"Albacete","INPEALSA","AVDA. DE LOS TOREROS, S/N, ALBACETE","1,339€","€","1,279€"
"Albacete","INPEALSA","CALLE POZO (EL), 106, MUNERA","1,349€","€","1,279€"
"Albacete","INPEALSA","CARRETERA NACIONAL 301 KM. 256, ALBACETE","1,349€","€","1,269€"
"Albacete","INPEALSA","AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N, ALBACETE","1,339€","€","1,279€"
"Albacete","INLOCOR S.L. ""CEPSA""","CARRETERA C-M 332 KM. 2,6, ALBACETE","1,379€","1,499€","1,319€"
"Albacete","INLOCOR S.L.","CARRETERA M 313 KM. 50, POZUELO","1,379€","1,499€","1,319€"
"Albacete","IDS","POLIGONO SAN RAFAEL 3ª FASE, SN, HELLIN","€","€","1,374€"
"Albacete","HELLIN GAS S.L.","CARRETERA TORREUCHEA KM. 1, HELLIN","1,369€","1,489€","1,299€"
"Albacete","GMOIL","AVENIDA PRIMERA, S/N, ALBACETE","1,259€","€","1,179€"
"Albacete","GHC","CALLE FEDERICO GARCIA LORCA, 1, ALBACETE","1,299€","€","1,239€"
"Albacete","GASÓLEOS S. ALMANSA","AVENIDA CIRCUNVALACION, 17, ALMANSA","€","€","1,248€"
"Albacete","GASPLAY","CARRETERA AB101 KM. 0,2, RODA (LA)","1,309€","€","1,229€"
"Albacete","GASOLINERAS DEL REY","AVDA. ALBACETE, 33, CASAS DE JUAN NUÑEZ","1,379€","€","1,309€"
"Albacete","GASOLINERA LOW COST PENADES","CARRETERA N-430 BADAJOZ A VALENCIA KM. 594, ALMANSA","1,329€","€","1,259€"
"Albacete","GALP","AUTOVIA A-30 KM. 322,5, HELLIN","1,389€","1,519€","1,329€"
"Albacete","GALP","CARRETERA A-31 KM. 50, RODA (LA)","1,399€","1,529€","1,349€"
"Albacete","GALP","AVENIDA VALENCIA DE, 16, CAUDETE","1,399€","1,509€","1,329€"
"Albacete","GALP","AUTOVIA A-31 KM. 34,50, RODA (LA)","1,399€","1,529€","1,349€"
"Albacete","GALP","AVENIDA REYES CATÓLICOS, 108, VILLARROBLEDO","1,339€","€","1,269€"
